,Unnamed: 0,entire_prompt,prompt,label,max_sim_score,zero_shot_prompts
0,0,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A woman opens a treasure chest. What would have happened if the woman had not opened the treasure chest?
A. The treasure chest would have remained closed.
B. That is not possible.
C. The treasure chest would have been open.
Answer:",What would have happened if the woman had not opened the treasure chest?,A,tensor(0.5138),"A woman opens a treasure chest. What would have happened if the woman had not opened the treasure chest?
A. The treasure chest would have remained closed.
B. That is not possible.
C. The treasure chest would have been open.
Answer:"
1,1,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A police officer calms down a hostage-taker. What would have happened if the police officer had not calmed the hostage-taker?
A. The hostage-taker would have released the hostages anyway.
B. That is not possible.
C. The hostages would have remained in danger.
Answer:",What would have happened if the police officer had not calmed the hostage-taker?,C,tensor(0.5672),"A police officer calms down a hostage-taker. What would have happened if the police officer had not calmed the hostage-taker?
A. The hostage-taker would have released the hostages anyway.
B. That is not possible.
C. The hostages would have remained in danger.
Answer:"
2,2,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A man talks about a lion. What would have happened if the man had talked to the lion?
A. Without a barrier, the man would have been eaten.
B. Without a barrier, the lion would have been eaten.
C. Nothing special would have happened.
Answer:",What would have happened if the man had talked to the lion?,A,tensor(0.5952),"A man talks about a lion. What would have happened if the man had talked to the lion?
A. Without a barrier, the man would have been eaten.
B. Without a barrier, the lion would have been eaten.
C. Nothing special would have happened.
Answer:"
3,3,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A girl kisses a boy. What would have happened if the girl had slapped the boy?
A. The girl would have been angry.
B. That is not possible.
C. The girl would have been happy.
Answer:",What would have happened if the girl had slapped the boy?,A,tensor(0.5220),"A girl kisses a boy. What would have happened if the girl had slapped the boy?
A. The girl would have been angry.
B. That is not possible.
C. The girl would have been happy.
Answer:"
4,4,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A girl kisses a boy. What would have happened if the girl had killed the boy?
A. The boy would have been arrested for assault.
B. She would have been liable to prosecution.
C. That is not possible.
D. The boy would have kissed the girl.
Answer:",What would have happened if the girl had killed the boy?,B,tensor(0.5339),"A girl kisses a boy. What would have happened if the girl had killed the boy?
A. The boy would have been arrested for assault.
B. She would have been liable to prosecution.
C. That is not possible.
D. The boy would have kissed the girl.
Answer:"
5,5,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A woman sees a fire. What would have happened if the woman had touched the fire?
A. That is not possible.
B. She would have been burned.
C. She would have seen fire.
D. She would not have been burned.
Answer:",What would have happened if the woman had touched the fire?,B,tensor(0.5353),"A woman sees a fire. What would have happened if the woman had touched the fire?
A. That is not possible.
B. She would have been burned.
C. She would have seen fire.
D. She would not have been burned.
Answer:"
6,6,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A woman sees a fire. What would have happened if the woman had fed the fire?
A. The fire would have been on the woman's shoulder.
B. The fire would have been not hungry anymore.
C. That is not possible.
D. The fire would have become larger.
Answer:",What would have happened if the woman had fed the fire?,D,tensor(0.5455),"A woman sees a fire. What would have happened if the woman had fed the fire?
A. The fire would have been on the woman's shoulder.
B. The fire would have been not hungry anymore.
C. That is not possible.
D. The fire would have become larger.
Answer:"
7,7,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A branch floats in a pond. What would have happened if a corpse had floated in the pond?
A. The corpse would have swum back to the barge.
B. The lake would have been a crime scene.
C. The corpse would have been shot.
D. That is not possible.
Answer:",What would have happened if a corpse had floated in the pond?,B,tensor(0.5381),"A branch floats in a pond. What would have happened if a corpse had floated in the pond?
A. The corpse would have swum back to the barge.
B. The lake would have been a crime scene.
C. The corpse would have been shot.
D. That is not possible.
Answer:"
8,8,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A branch floats in a pond. What would have happened if a branch had sung in the pond?
A. It would have got stuck.
B. It would have been the usual branch singing.
C. It would have been a great concert.
D. That is not possible.
Answer:",What would have happened if a branch had sung in the pond?,D,tensor(0.5568),"A branch floats in a pond. What would have happened if a branch had sung in the pond?
A. It would have got stuck.
B. It would have been the usual branch singing.
C. It would have been a great concert.
D. That is not possible.
Answer:"
9,9,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A bird lands in a forest. What would have happened if a plane had landed in the forest?
A. Everything would have been fine.
B. The plane would have crashed.
C. The plane would have landed safe and sound.
D. In a forest you will find lots of planes.
Answer:",What would have happened if a plane had landed in the forest?,B,tensor(0.4978),"A bird lands in a forest. What would have happened if a plane had landed in the forest?
A. Everything would have been fine.
B. The plane would have crashed.
C. The plane would have landed safe and sound.
D. In a forest you will find lots of planes.
Answer:"
